"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"9/16/2023 5 a.m. EDT",30207,17435,24602,25049,67871,63206,9255,31760,12606,20627,11905,13724,43257
US48,"9/16/2023 6 a.m. EDT",28783,17684,24475,24937,68621,63172,9472,31221,12758,20757,11422,13601,42687
US48,"9/16/2023 7 a.m. EDT",27707,18177,24738,25248,70482,64046,9938,31085,13207,21126,11060,13761,42625
US48,"9/16/2023 8 a.m. EDT",26837,18588,25248,25762,71710,65036,10424,31215,13649,21492,10946,13999,43143
US48,"9/16/2023 9 a.m. EDT",26749,19829,25698,28153,73953,66451,10966,31848,14058,21943,10952,14571,43740
US48,"9/16/2023 10 a.m. EDT",27011,21249,26585,31810,74608,68980,11122,32698,14072,22302,10828,15562,45735
US48,"9/16/2023 11 a.m. EDT",27339,22423,27607,35495,75584,71206,10981,34100,14063,23252,11115,16341,48728
US48,"9/16/2023 12 p.m. EDT",28498,23563,28664,38894,76626,73985,10773,35669,14159,24111,11772,17263,51831
US48,"9/16/2023 1 p.m. EDT",30682,24835,29737,41436,77927,76517,10516,36952,14226,24905,12541,17966,55013
US48,"9/16/2023 2 p.m. EDT",31126,26353,30913,42928,79497,78766,10392,37795,14224,25421,13560,18419,57227
US48,"9/16/2023 3 p.m. EDT",31371,27696,31972,43553,81830,80852,10514,38852,14411,26401,14634,18818,58550
US48,"9/16/2023 4 p.m. EDT",30992,28949,32852,43921,84192,82483,10631,40071,14824,26710,15736,19019,59568
US48,"9/16/2023 5 p.m. EDT",30526,29684,33682,43707,86931,83381,11188,41386,15493,27149,17071,19241,60254
US48,"9/16/2023 6 p.m. EDT",29847,29888,34259,42536,88795,83580,12153,42869,16330,27422,17946,19277,60630
US48,"9/16/2023 7 p.m. EDT",29894,28985,34100,40916,88220,82932,12774,44468,16853,27211,18730,19074,59797
US48,"9/16/2023 8 p.m. EDT",30892,27851,33135,39074,86537,81526,12997,45657,17017,26951,19167,18582,58443
US48,"9/16/2023 9 p.m. EDT",32234,26778,31941,37797,84982,80542,12549,45244,16714,26781,18988,18089,57358
US48,"9/16/2023 10 p.m. EDT",33393,25237,31031,35765,81692,78607,11909,43639,16123,25742,18030,17546,56035
US48,"9/16/2023 11 p.m. EDT",34496,23577,29779,33527,78318,75228,11160,42002,15372,24476,17084,16806,54006
US48,"9/17/2023 12 a.m. EDT",34379,21819,28293,31259,74987,71804,10379,40491,14555,23313,16126,15889,51762
US48,"9/17/2023 1 a.m. EDT",33732,20349,26763,29088,72396,68613,9816,38328,13869,22101,15199,14909,49235
US48,"9/17/2023 2 a.m. EDT",32561,19251,25565,27329,69741,66089,9717,36299,13318,20913,14368,14270,46754
US48,"9/17/2023 3 a.m. EDT",30935,18518,24666,26053,68307,64053,9429,34504,12915,20725,13514,13556,44806
US48,"9/17/2023 4 a.m. EDT",29726,18106,24028,25110,67381,62585,9252,33011,12645,20386,12796,13153,43343
US48,"9/17/2023 5 a.m. EDT",28414,17976,23599,24527,67089,61740,9228,31524,12541,20134,12112,12984,42394
US48,"9/17/2023 6 a.m. EDT",27462,18034,23444,24294,67459,61368,9365,31198,12624,20063,11563,12943,41824
US48,"9/17/2023 7 a.m. EDT",26467,18469,23427,24507,68509,62076,9642,30681,12898,20327,11159,13119,41615
US48,"9/17/2023 8 a.m. EDT",25695,18754,23752,24933,69640,62635,9733,30733,13146,20760,10921,13233,41847
US48,"9/17/2023 9 a.m. EDT",25527,20056,24014,27565,71475,63736,9410,31108,13531,20826,10862,13825,41905
US48,"9/17/2023 10 a.m. EDT",25631,21284,25046,31709,73743,65975,8631,31942,13775,21179,10624,14969,43822
US48,"9/17/2023 11 a.m. EDT",26163,22290,26327,35678,74985,68154,8320,33223,14064,23222,10904,15790,47089
US48,"9/17/2023 12 p.m. EDT",26986,23107,27710,39324,76798,70687,8317,35187,14403,24168,11643,16627,50588
US48,"9/17/2023 1 p.m. EDT",28263,24043,29264,42162,79470,73400,8617,36563,14775,25690,12521,17256,54246
US48,"9/17/2023 2 p.m. EDT",28810,24493,30873,43988,81049,75954,8993,37663,15215,26921,13618,18231,57919
US48,"9/17/2023 3 p.m. EDT",28620,24697,32430,44954,83001,78231,9693,38872,15673,28194,14764,18991,60999
US48,"9/17/2023 4 p.m. EDT",28150,24827,33803,45590,84165,79968,10807,39925,16214,29037,15931,19699,63633
US48,"9/17/2023 5 p.m. EDT",28266,25117,35074,46068,85470,81628,12334,41372,16723,29676,17151,19982,65757
US48,"9/17/2023 6 p.m. EDT",28199,25420,35939,45885,86577,83378,13647,43165,17208,29990,18067,20013,67017
US48,"9/17/2023 7 p.m. EDT",28578,25449,36357,44187,86661,84130,14169,44705,17491,29640,18875,19730,67359
US48,"9/17/2023 8 p.m. EDT",29827,25572,35602,42323,87128,83383,14403,45688,17798,28674,19397,19096,65559
US48,"9/17/2023 9 p.m. EDT",32007,25462,34110,40929,86767,82387,13875,45627,17576,28105,19466,18645,62727
US48,"9/17/2023 10 p.m. EDT",32921,24316,32958,38199,83278,80089,12995,44436,16940,26647,18758,17887,60750
US48,"9/17/2023 11 p.m. EDT",33976,22727,31206,35142,79353,75829,12015,43445,16122,24643,17735,16709,57851
US48,"9/18/2023 12 a.m. EDT",34454,21176,29100,32057,76046,71471,11133,41588,15286,22681,16520,15415,54078
US48,"9/18/2023 1 a.m. EDT",33778,19815,27208,29349,74021,68041,10515,39025,14603,21201,15249,14180,50286
US48,"9/18/2023 2 a.m. EDT",32550,19014,25873,27386,71902,65535,10378,36832,14092,20630,14071,13452,46886
US48,"9/18/2023 3 a.m. EDT",30610,18638,25009,26115,70498,63878,10137,34431,13740,19855,13087,13086,44515
US48,"9/18/2023 4 a.m. EDT",28689,18384,24543,25347,69958,62779,10343,33056,13595,19471,12302,12804,42900
US48,"9/18/2023 5 a.m. EDT",27651,18527,24270,25234,70750,62481,10326,31937,13704,19448,11755,12722,42369
US48,"9/18/2023 6 a.m. EDT",26906,19361,24400,26083,73700,63595,10849,31290,14418,20125,11354,13024,42232
US48,"9/18/2023 7 a.m. EDT",26385,21203,25289,27631,78967,66062,12131,31239,15875,21373,11173,13951,43307
US48,"9/18/2023 8 a.m. EDT",26389,22034,27010,28261,83071,70489,13204,32246,16958,21791,11236,14885,45485
US48,"9/18/2023 9 a.m. EDT",26654,22724,27940,29963,85299,72950,13794,34397,17511,21678,11631,15253,46124
US48,"9/18/2023 10 a.m. EDT",28227,23421,28709,32577,86386,74519,14080,36676,17742,21703,11848,15829,47783
US48,"9/18/2023 11 a.m. EDT",29892,24317,29776,35404,87587,76614,14336,38300,17970,22656,12122,16460,50740
US48,"9/18/2023 12 p.m. EDT",31372,25199,31300,38241,88707,79095,14569,39478,18107,23810,12611,17206,54800
US48,"9/18/2023 1 p.m. EDT",32554,26388,32971,40973,89998,81448,14669,40318,18129,25209,16695,17952,58691
US48,"9/18/2023 2 p.m. EDT",33101,27381,34619,43248,91265,84075,14640,41288,18197,26539,14068,18676,62157
US48,"9/18/2023 3 p.m. EDT",32459,28133,36631,44823,91723,86272,14433,42387,18176,27883,14960,19320,65261
